security_ticker,market_ticker,event_date
TUI LN Equity,FTSE ALL SHARES,3/23/2020
CCL LN Equity,FTSE ALL SHARES,6/22/2020
EZJ LN Equity,FTSE ALL SHARES,6/22/2020
MGGT LN Equity,FTSE ALL SHARES,6/22/2020
CNA LN Equity,FTSE ALL SHARES,6/22/2020
ITV LN Equity,FTSE ALL SHARES,9/21/2020
HSV LN Equity,FTSE ALL SHARES,12/21/2020
PNN LN Equity,FTSE ALL SHARES,3/22/2021
MRW LN Equity,FTSE ALL SHARES,3/22/2021
RSW LN Equity,FTSE ALL SHARES,6/21/2021
WEIR LN Equity,FTSE ALL SHARES,9/20/2021
DARK LN Equity,FTSE ALL SHARES,12/20/2021
JMAT LN Equity,FTSE ALL SHARES,12/20/2021
EVR LN Equity,FTSE ALL SHARES,3/21/2022
POLY LN Equity,FTSE ALL SHARES,3/21/2022
ITV LN Equity,FTSE ALL SHARES,6/20/2022
IDS LN Equity,FTSE ALL SHARES,6/20/2022
ABDN LN Equity,FTSE ALL SHARES,9/19/2022
HIK LN Equity,FTSE ALL SHARES,9/19/2022
HWDN LN Equity,FTSE ALL SHARES,9/19/2022
HBR LN Equity,FTSE ALL SHARES,12/19/2022
ICG LN Equity,FTSE ALL SHARES,12/19/2022
DPH LN Equity,FTSE ALL SHARES,12/19/2022
BLND LN Equity,FTSE ALL SHARES,6/19/2023
PSN LN Equity,FTSE ALL SHARES,9/18/2023
ABDN LN Equity,FTSE ALL SHARES,9/18/2023
HSX LN Equity,FTSE ALL SHARES,9/18/2023
JMAT LN Equity,FTSE ALL SHARES,9/18/2023
HL/ LN Equity,FTSE ALL SHARES,12/18/2023
PHNX LN Equity,FTSE ALL SHARES,3/18/2019
PNN LN Equity,FTSE ALL SHARES,6/29/2012
PNN LN Equity,FTSE ALL SHARES,3/23/2020
POLY LN Equity,FTSE ALL SHARES,12/19/2011
POLY LN Equity,FTSE ALL SHARES,9/19/2016
POLY LN Equity,FTSE ALL SHARES,9/23/2019
PON LN Equity,FTSE ALL SHARES,3/20/2000
PSH LN Equity,FTSE ALL SHARES,12/21/2020
PSN LN Equity,FTSE ALL SHARES,12/19/2005
PSN LN Equity,FTSE ALL SHARES,6/24/2013
PUB LN Equity,FTSE ALL SHARES,4/17/2007
PWG LN Equity,FTSE ALL SHARES,7/12/2000
REX LN Equity,FTSE ALL SHARES,9/23/2002
REX LN Equity,FTSE ALL SHARES,2/15/2016
RMV LN Equity,FTSE ALL SHARES,6/28/2018
RR/ LN Equity,FTSE ALL SHARES,12/18/2000
RR/ LN Equity,FTSE ALL SHARES,6/23/2003
RRS LN Equity,FTSE ALL SHARES,12/22/2008
RS1 LN Equity,FTSE ALL SHARES,9/18/2000
RS1 LN Equity,FTSE ALL SHARES,12/20/2021
RSW LN Equity,FTSE ALL SHARES,3/22/2021
RTO LN Equity,FTSE ALL SHARES,3/20/2017
RTO LN Equity,FTSE ALL SHARES,8/22/2007
RTO LN Equity,FTSE ALL SHARES,9/21/2009
SCTN LN Equity,FTSE ALL SHARES,6/19/2000
SCTN LN Equity,FTSE ALL SHARES,3/19/2001
SDR LN Equity,FTSE ALL SHARES,3/30/2007
SEM LN Equity,FTSE ALL SHARES,3/19/2001
SFW LN Equity,FTSE ALL SHARES,12/18/2000
SGC LN Equity,FTSE ALL SHARES,9/22/2008
SGRO LN Equity,FTSE ALL SHARES,9/21/2009
SGRO LN Equity,FTSE ALL SHARES,6/19/2017
SGRO LN Equity,FTSE ALL SHARES,7/31/2006
Shell LN equity,FTSE ALL SHARES,7/20/2005
SHP LN Equity,FTSE ALL SHARES,10/26/2000
SKG LN Equity,FTSE ALL SHARES,12/19/2016
SMDS LN Equity,FTSE ALL SHARES,12/18/2017
SMIN LN Equity,FTSE ALL SHARES,12/18/2000
SMIN LN Equity,FTSE ALL SHARES,6/27/2016
SMT LN Equity,FTSE ALL SHARES,3/20/2017
SN/ LN Equity,FTSE ALL SHARES,7/12/2001
SPT LN Equity,FTSE ALL SHARES,9/18/2000
SPX LN Equity,FTSE ALL SHARES,12/24/2018
SRP LN Equity,FTSE ALL SHARES,12/22/2008
STJ LN Equity,FTSE ALL SHARES,3/24/2014
SVT LN Equity,FTSE ALL SHARES,9/24/2001
TATE LN Equity,FTSE ALL SHARES,12/20/2004
TCG LN Equity,FTSE ALL SHARES,3/26/2008
TCG LN Equity,FTSE ALL SHARES,12/22/2008
TCG LN Equity,FTSE ALL SHARES,6/20/2011
TCG LN Equity,FTSE ALL SHARES,12/24/2007
TGA LN Equity,FTSE ALL SHARES,6/7/2021
THUS LN Equity,FTSE ALL SHARES,3/20/2000
TLW LN Equity,FTSE ALL SHARES,9/24/2007
TOMK LN Equity,FTSE ALL SHARES,9/23/2002
TPK LN Equity,FTSE ALL SHARES,6/24/2013
TT/ LN Equity,FTSE ALL SHARES,12/24/2007
TT/ LN Equity,FTSE ALL SHARES,12/24/2012
TUI LN Equity,FTSE ALL SHARES,12/17/2014
TW/ LN Equity,FTSE ALL SHARES,9/24/2007
TW/ LN Equity,FTSE ALL SHARES,12/22/2014
UTG LN Equity,FTSE ALL SHARES,6/20/2022
VANQ LN Equity,FTSE ALL SHARES,12/21/2015
VED LN Equity,FTSE ALL SHARES,6/19/2006
WEIR LN Equity,FTSE ALL SHARES,9/20/2010
WEIR LN Equity,FTSE ALL SHARES,3/22/2021
WEIR LN Equity,FTSE ALL SHARES,12/19/2022
WG/ LN Equity,FTSE ALL SHARES,4/28/2008
WG/ LN Equity,FTSE ALL SHARES,3/21/2011
WG/ LN Equity,FTSE ALL SHARES,9/24/2012
WG/ LN Equity,FTSE ALL SHARES,10/12/2018
WMH LN Equity,FTSE ALL SHARES,4/8/2004
WPG LN Equity,FTSE ALL SHARES,12/21/2015
WTB LN Equity,FTSE ALL SHARES,12/23/2002
WTB LN Equity,FTSE ALL SHARES,12/18/2006
WTB LN Equity,FTSE ALL SHARES,9/21/2009
XTA LN Equity,FTSE ALL SHARES,6/24/2002
